omitted_seed,geometric_mean_ratio,crosses_one_relative_to_full
0,0.9722648575378013,False
1,0.9721247286722188,False
2,0.9721680943678572,False
3,0.9722162368562877,False
4,0.9721404162734791,False
5,0.9720834598926134,False
6,0.9720749052735799,False
7,0.9722332314109537,False
8,0.9722473987246572,False
9,0.9721685214967621,False
10,0.9722526008003053,False
11,0.9721890471255957,False
12,0.9721649675124451,False
13,0.9721923628743051,False
14,0.9722915471289151,False
15,0.9722855462440699,False
16,0.9721409984843725,False
17,0.9722163325544207,False
18,0.9722833725996779,False
19,0.9721666664626822,False
20,0.9723024197677763,False
21,0.9721614922053649,False
22,0.9722037568329801,False
23,0.9721678267765744,False
24,0.9721248336617669,False
25,0.9721230728791858,False
26,0.9721284418095348,False
27,0.9722484404866796,False
28,0.9721223660051801,False
29,0.9721098269112098,False
30,0.9722382808847094,False
31,0.9721525602083673,False
32,0.9721090931545829,False
33,0.9722885931424323,False
34,0.9722401747043753,False
35,0.9722181819716939,False
36,0.9723733577743864,False
37,0.9724554968367434,False
38,0.9722484395897891,False
39,0.9722800959739635,False
40,0.9722475181143031,False
41,0.9722554407665739,False
42,0.9721372043899532,False
43,0.9721602460647817,False
44,0.9723667370037904,False
45,0.9720844607799981,False
46,0.9721102193159129,False
47,0.9721111036572051,False
48,0.9721544591191539,False
49,0.9721756400926731,False
50,0.9721355553508602,False
51,0.9722294743646621,False
52,0.9721920037023944,False
53,0.9722208005605844,False
54,0.9722246769646739,False
55,0.9722481010753312,False
56,0.9722469465271525,False
57,0.9723510143759909,False
58,0.9722557168253121,False
59,0.9720853382901753,False
60,0.9720834483908216,False
61,0.9722133973786673,False
62,0.9722355362973093,False
63,0.9722678667924565,False
64,0.9720955676124836,False
65,0.9723278428553769,False
66,0.9721843824009311,False
67,0.9721709024570135,False
68,0.9722294778160848,False
69,0.972183354631511,False
70,0.9720917355799656,False
71,0.9721916082855543,False
72,0.9722283177511734,False
73,0.9722680181883806,False
74,0.9722692222171382,False
75,0.972077859427482,False
76,0.9723219830875905,False
77,0.9721683148474904,False
78,0.9721657936575571,False
79,0.972131700260517,False
80,0.9721206204933697,False
81,0.9721823518173349,False
82,0.9721924538812928,False
83,0.9721870113294862,False
84,0.9722934004226328,False
85,0.9721769640204758,False
86,0.9721134181470323,False
87,0.9721433485771777,False
88,0.9722244555469551,False
89,0.9721662908287093,False
90,0.9721696600838988,False
91,0.9721598472141194,False
92,0.9722383787980828,False
93,0.9723393134768747,False
94,0.9722342810657697,False
95,0.9722077701553997,False
96,0.972274907337125,False
97,0.9722846346612776,False
98,0.9722323644668952,False
99,0.9722868653685839,False
